Sample.Name,Genotype,Notes,Nutrients,Disease,Timepoint,File.Name,A.CT.mean,Acerv.CT.mean,A.CT.sd,Acerv.CT.sd,A.reps,Acerv.reps,A.Acerv
201,FM9,,NH4,Pathogen,T1,DK_T1_Subsample_1_re extract_plate2.csv,20.7395,23.47,0.171826948,1.663115149,2,2,1.78143849
201,FM9,,NH4,Pathogen,T1,DK_T1_Subsample_1_redo.csv,21.455,23.687,0.094752309,0.089095454,2,2,1.26097762
201,FM9,,NH4,Pathogen,T1,DK_T1_Subsample_1.csv,22.332,24.356,0.094752309,0.025455844,2,2,1.091674434
218,FM9,,Ambient,Placebo,T1,DK_T1_Subsample_2.csv,22.573,25.6915,0.065053824,0.283549819,2,2,2.331151344
218,FM9,,Ambient,Placebo,T1,DK_T1_Subsample_2_redo.csv,22.28,24.9865,0.322440692,0.072831998,2,2,1.75204845
218,FM9,,Ambient,Placebo,T1,DK_T1_Subsample_1_re extract_plate2.csv,21.726,24.1305,1.75079639,0.115258405,2,2,1.421134076
228,FM9,,Ambient,Pathogen,T1,DK_T1_Subsample_1_re extract_plate1.csv,20.35,23.62,0.084852814,0.18243355,2,2,2.58926508
228,FM9,,Ambient,Pathogen,T1,DK_T1_Subsample_1_redo.csv,20.8695,23.7225,0.225567063,0.072831998,2,2,1.939308969
228,FM9,,Ambient,Pathogen,T1,DK_T1_Subsample_1.csv,21.613,24.427,0.065053824,0.082024387,2,2,1.887586385
230,FM6,,Ambient,Pathogen,T1,DK_T1_Subsample_1_re extract_plate1.csv,20.121,24.266,0.195161472,0.325269119,2,2,4.748733094
230,FM6,,Ambient,Pathogen,T1,DK_T1_Subsample_1_redo.csv,20.5395,24.2975,0.099702056,0.126572114,2,2,3.631442334
230,FM6,,Ambient,Pathogen,T1,DK_T1_Subsample_1.csv,21.5935,25.173,0.316076731,0.154149278,2,2,3.208819572
235,FM6,,NH4,Pathogen,T1,DK_T1_Subsample_1_redo.csv,21.05,24.4435,0.154149278,0.241123412,2,2,2.820679347
235,FM6,,NH4,Pathogen,T1,DK_T1_Subsample_1_re extract_plate2.csv,20.3575,23.61,0.109601551,0.175362482,2,2,2.558046821
235,FM6,,NH4,Pathogen,T1,DK_T1_Subsample_1.csv,22.012,25.212,0.004242641,0.1668772,2,2,2.466632302
245,FM6,,Ambient,Placebo,T1,DK_T1_Subsample_2.csv,22.2165,25.9825,0.426385389,0.355674711,2,2,3.651635261
245,FM6,,Ambient,Placebo,T1,DK_T1_Subsample_1_re extract_plate2.csv,20.8705,23.972,0.132228968,0.055154329,2,2,2.303843425
245,FM6,,Ambient,Placebo,T1,DK_T1_Subsample_2_redo.csv,22.486,25.566,NA,0.37335238,1,2,2.269764583
268,FM14,,Ambient,Placebo,T1,DK_T1_Subsample_1_re extract_plate2.csv,20.7295,23.27,0.140714249,0.82165808,2,2,1.561619173
268,FM14,,Ambient,Placebo,T1,DK_T1_Subsample_2.csv,22.354,24.1045,0.185261977,0.053033009,2,2,0.903153222
268,FM14,,Ambient,Placebo,T1,DK_T1_Subsample_2_redo.csv,22.3185,23.725,0.142128463,0.12303658,2,2,0.711552776
281,FM14,,Ambient,Pathogen,T1,DK_T1_Subsample_1_re extract_plate1.csv,20.64,24.21,0.117379726,0.596798123,2,2,3.187759238
281,FM14,,Ambient,Pathogen,T1,DK_T1_Subsample_1_redo.csv,21.1095,23.8635,0.235466558,0.258093975,2,2,1.810693892
281,FM14,,Ambient,Pathogen,T1,DK_T1_Subsample_1.csv,22.02,24.57,0.106066017,0.22627417,2,2,1.571936207
289,FM14,,NH4,Pathogen,T1,DK_T1_Subsample_1_redo.csv,21.3975,24.731,0.113844192,0.946108873,2,2,2.70577649
289,FM14,,NH4,Pathogen,T1,DK_T1_Subsample_1.csv,22.2145,24.9885,0.016263456,0.113844192,2,2,1.835970236
289,FM14,,NH4,Pathogen,T1,DK_T1_Subsample_1_re extract_plate2.csv,20.7925,23.1775,0.000707107,0.176069589,2,2,1.402054734
A004,Kelsey-1,,Ambient,Pathogen,T1,DK_T1_Subsample_1_redo.csv,21.8255,23.944,0.043133514,0.026870058,2,2,1.165575672
A004,Kelsey-1,,Ambient,Pathogen,T1,DK_T1_Subsample_1.csv,22.6985,24.66,0.044547727,0.257386868,2,2,1.045391019
A004,Kelsey-1,,Ambient,Pathogen,T1,DK_T1_Subsample_1_re extract_plate1.csv,21.854,23.7175,0.18667619,0.214253355,2,2,0.976737418
A011,U44,,NH4,Pathogen,T1,DK_T1_Subsample_1_re extract_plate1.csv,20.399,23.751,0.188090404,0.183847763,2,2,2.740696681
A011,U44,,NH4,Pathogen,T1,DK_T1_Subsample_1_redo.csv,21.05,23.7805,0.287085353,0.050204581,2,2,1.78143849
A011,U44,,NH4,Pathogen,T1,DK_T1_Subsample_1.csv,22.026,24.5155,0.008485281,0.214253355,2,2,1.507379493
A012,Kelsey-1,,Ambient,Placebo,T1,DK_T1_Subsample_1.csv,22.594,25.769,0.156977705,0.053740115,2,2,2.424257035
A012,Kelsey-1,,Ambient,Placebo,T1,DK_T1_Subsample_1_re extract_plate2.csv,21.107,24.1785,0.015556349,0.279307179,2,2,2.256431013
A012,Kelsey-1,,Ambient,Placebo,T1,DK_T1_Subsample_1_redo.csv,21.7845,24.85,0.129400541,0.018384776,2,2,2.247066267
A014,Kelsey-1,,NH4,Placebo,T1,DK_T1_Subsample_2.csv,23.7775,23.704,0.168998521,0.171119841,2,2,0.255083709
